Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.05156419549579,-70.05156419549579,-69.99990842359746,-70.0,-65.3997863998872
-70.05195044183529,-70.05195044183529,-69.99990792576547,-70.0,-65.3742904210473
-70.05233591576834,-70.05233591576834,-69.99990743041009,-70.0,-65.3489148255732
-70.05272061824382,-70.05272061824382,-69.999906937519,-70.0,-65.32365904505494
-70.05310455022774,-70.05310455022774,-69.99990644707994,-70.0,-65.29852251376641
-70.0534877127023,-70.0534877127023,-69.99990595908069,-70.0,-65.2735046686527
-70.05387010666513,-70.05387010666513,-69.99990547350914,-70.0,-65.24860494931741
-70.0542517331284,-70.0542517331284,-69.99990499035322,-70.0,-65.22382279801016
-70.0546325931181,-70.0546325931181,-69.99990450960088,-70.0,-65.1991576596141
-70.05501268767333,-70.05501268767333,-69.99990403124019,-70.0,-65.17460898163343
-70.05539201784553,-70.05539201784553,-69.99990355525924,-70.0,-65.15017621418104
-70.05577058469791,-70.05577058469791,-69.99990308164618,-70.0,-65.12585880996626
-70.05614838930472,-70.05614838930472,-69.99990261038926,-70.0,-65.1016562242825
-70.05652543275072,-70.05652543275072,-69.99990214147674,-70.0,-65.07756791499506
-70.05690171613057,-70.05690171613057,-69.99990167489695,-70.0,-65.0535933425291
-70.05727724054829,-70.05727724054829,-69.99990121063828,-70.0,-65.0297319698574
-70.05765200711673,-70.05765200711673,-69.99990074868921,-70.0,-65.00598326248843
-70.05802601695709,-70.05802601695709,-69.99990028903825,-70.0,-64.98234668845437
-70.05839927119843,-70.05839927119843,-69.99989983167394,-70.0,-64.95882278500665
-70.05877177097722,-70.05877177097722,-69.99989937658493,-70.0,-64.93541095909436
-70.05914351743692,-70.05914351743692,-69.99989892375989,-70.0,-64.9121106557792
-70.05951451172757,-70.05951451172757,-69.99989847318754,-70.0,-64.8889213379526
-70.05988475500534,-70.05988475500534,-69.9998980248567,-70.0,-64.86584247758462
-70.06025424843227,-70.06025424843227,-69.99989757875622,-70.0,-64.84287355194479
-70.0606229931758,-70.0606229931758,-69.999897134875,-70.0,-64.82001404196625
-70.06099099040848,-70.06099099040848,-69.99989669320199,-70.0,-64.79726343153419
-70.0613582413077,-70.0613582413077,-69.99989625372619,-70.0,-64.77462120717273
-70.06172474705527,-70.06172474705527,-69.9998958164367,-70.0,-64.75208685790352
-70.06209050883719,-70.06209050883719,-69.99989538132263,-70.0,-64.72965987517858
-70.06245552784338,-70.06245552784338,-69.99989494837317,-70.0,-64.70733975284502
-70.06281980526741,-70.06281980526741,-69.99989451757753,-70.0,-64.68512598712356
-70.06318334230619,-70.06318334230619,-69.999894088925,-70.0,-64.66301807659318
-70.06354614015981,-70.06354614015981,-69.99989366240493,-70.0,-64.6410155221782
-70.06390820003125,-70.06390820003125,-69.9998932380067,-70.0,-64.61911782713659
-70.06426952312617,-70.06426952312617,-69.99989281571978,-70.0,-64.59732449704887
-70.06463011065271,-70.06463011065271,-69.99989239553362,-70.0,-64.57563503980715
-70.0649899638213,-70.0649899638213,-69.99989197743781,-70.0,-64.55404896560435
-70.06534908384444,-70.06534908384444,-69.99989156142193,-70.0,-64.53256578692354
-70.06570747193653,-70.06570747193653,-69.99989114747565,-70.0,-64.51118501852731
-70.06606512931371,-70.06606512931371,-69.99989073558866,-70.0,-64.48990617744722
-70.06642205719369,-70.06642205719369,-69.99989032575073,-70.0,-64.46872878297324
-70.06677825679559,-70.06677825679559,-69.99988991795163,-70.0,-64.44765235664333
-70.06713372933974,-70.06713372933974,-69.99988951218127,-70.0,-64.42667642223309
-70.06748847604766,-70.06748847604766,-69.99988910842951,-70.0,-64.40580050574528
-70.06784249814177,-70.06784249814177,-69.99988870668632,-70.0,-64.38502413539959
-70.06819579684539,-70.06819579684539,-69.99988830694174,-70.0,-64.36434684162231
-70.06854837338254,-70.06854837338254,-69.99988790918579,-70.0,-64.34376815703608
-70.06890022897785,-70.06890022897785,-69.9998875134086,-70.0,-64.32328761644978
-70.06925136485644,-70.06925136485644,-69.9998871196003,-70.0,-64.30290475684833
-70.06960178224382,-70.06960178224382,-69.99988672775113,-70.0,-64.2826191173827
-70.06995148236578,-70.06995148236578,-69.99988633785132,-70.0,-64.26243023935972
-70.07030046644829,-70.07030046644829,-69.99988594989118,-70.0,-64.24233766623225
-70.07064873571741,-70.07064873571741,-69.99988556386106,-70.0,-64.2223409435891
-70.07099629139923,-70.07099629139923,-69.99988517975135,-70.0,-64.20243961914525
-70.07134313471973,-70.07134313471973,-69.9998847975525,-70.0,-64.18263324273188
-70.07168926690473,-70.07168926690473,-69.999884417255,-70.0,-64.16292136628662
-70.07203468917984,-70.07203468917984,-69.9998840388494,-70.0,-64.14330354384377
-70.07237940277034,-70.07237940277034,-69.9998836623263,-70.0,-64.12377933152456
-70.07272340890113,-70.07272340890113,-69.99988328767633,-70.0,-64.10434828752754
-70.07306670879667,-70.07306670879667,-69.99988291489014,-70.0,-64.08500997211887
-70.07340930368093,-70.07340930368093,-69.99988254395849,-70.0,-64.06576394762273
-70.07375119477727,-70.07375119477727,-69.99988217487216,-70.0,-64.04660977841185
-70.07409238330848,-70.07409238330848,-69.99988180762193,-70.0,-64.02754703089796
-70.07443287049662,-70.07443287049662,-69.9998814421987,-70.0,-64.00857527352231
-70.07477265756305,-70.07477265756305,-69.99988107859338,-70.0,-63.9896940767463
-70.07511174572832,-70.07511174572832,-69.99988071679691,-70.0,-63.970903013042076
-70.07545013621221,-70.07545013621221,-69.9998803568003,-70.0,-63.95220165688324
-70.07578783023357,-70.07578783023357,-69.99987999859461,-70.0,-63.93358958473552
-70.07612482901037,-70.07612482901037,-69.99987964217091,-70.0,-63.91506637504756
-70.07646113375961,-70.07646113375961,-69.99987928752033,-70.0,-63.89663160824169
-70.0767967456973,-70.0767967456973,-69.99987893463405,-70.0,-63.8782848667048
-70.07713166603843,-70.07713166603843,-69.99987858350333,-70.0,-63.86002573477922
-70.07746589599691,-70.07746589599691,-69.99987823411941,-70.0,-63.84185379875361
-70.07779943678557,-70.07779943678557,-69.99987788647358,-70.0,-63.823768646853964
-70.07813228961612,-70.07813228961612,-69.99987754055722,-70.0,-63.80576986923461
-70.07846445569908,-70.07846445569908,-69.99987719636172,-70.0,-63.78785705796924
-70.0787959362438,-70.0787959362438,-69.99987685387852,-70.0,-63.770029807042036
-70.07912673245842,-70.07912673245842,-69.9998765130991,-70.0,-63.75228771233878
-70.07945684554983,-70.07945684554983,-69.99987617401499,-70.0,-63.734630371638005
-70.07978627672367,-70.07978627672367,-69.99987583661775,-70.0,-63.71705738460227
-70.08011502718428,-70.08011502718428,-69.99987550089898,-70.0,-63.69956835276935
-70.08044309813471,-70.08044309813471,-69.99987516685034,-70.0,-63.68216287954355
-70.08077049077664,-70.08077049077664,-69.99987483446354,-70.0,-63.66484057018707
-70.08109720631046,-70.08109720631046,-69.99987450373028,-70.0,-63.64760103181132
-70.08142324593514,-70.08142324593514,-69.99987417464234,-70.0,-63.63044387336839
