x_axis_frequency,case1,case2,case3,case4,case5,case6
101,9.185761832149395e-06,1.96158791471193e-05,1.7988506022031556e-05,2.2696203340589152e-05,1.375354774105924e-05,1.2477208650104351e-08
102,1.8137979335463683e-05,1.0910797054208963e-05,2.6988511226866988e-05,1.629949468620774e-05,2.569980373527229e-05,7.959374103044569e-07
103,1.698659359211942e-05,8.507972290005042e-06,3.778795647747899e-05,2.44961324748556e-05,2.4226168913994257e-05,5.788050288582929e-07
104,1.2124810564898541e-06,1.8964323863053017e-05,3.980528045496055e-05,3.3432883462287065e-05,2.717716107756106e-05,-8.841540175182722e-07
105,3.906187663983721e-06,1.4352889059510584e-05,1.98802803345998e-05,1.4772255833084877e-05,1.7457786741967617e-05,1.6549328046940783e-06
106,2.1461314793475158e-05,1.7007939488914556e-05,2.4659874952936365e-05,1.4790805160476874e-05,2.5769215127063763e-05,4.731304972788235e-06
107,1.1009084910804464e-05,9.132566612060144e-06,2.3031174947570797e-05,2.6509802540869945e-05,1.2491174740859961e-05,9.59504585497462e-07
108,-3.094953346570786e-06,1.4934810259043748e-06,2.492162204037913e-05,1.944994155162624e-05,1.3729619739333897e-05,2.3232086417021983e-06
109,1.596623624147996e-05,1.33022785704721e-05,1.3246951693052203e-05,1.489575710578444e-05,1.297718184213771e-05,-5.38636237097318e-07
110,2.0657533671299676e-05,2.141932152428682e-05,9.111439163471185e-06,1.2725921317798707e-05,2.74224343905178e-05,-2.467235139317923e-07
111,1.936420687412301e-06,5.926845732270666e-06,5.3702250817345864e-06,7.75568404478945e-06,1.0695966741484762e-05,3.3846554743341096e-07
112,6.482231819943094e-06,9.43937513495183e-06,1.4562242703471175e-05,7.184343008333995e-06,7.768222077059173e-06,-2.5592982910025996e-07
113,8.962649693436758e-06,6.675210596645279e-06,1.935115782509174e-05,1.636606305114372e-05,2.2543146063334067e-05,-1.0879977473270314e-06
114,-2.164377560740249e-06,9.226112964424142e-06,1.1524181940661129e-05,5.796701716999176e-06,2.000048572132984e-06,-6.952845457351781e-07
115,1.867075078677495e-05,1.7578802212876375e-05,1.3784449751947804e-05,9.298982047205743e-07,7.574875657090518e-07,-3.808173680511571e-07
