x_axis_frequency,case1,case2,case3,case4,case5,case6
138,-4.582894308810137e-07,-2.1376523792367966e-06,5.321505685816231e-06,1.0289226220309965e-05,1.1890905940983564e-06,1.049251427207869e-07
139,-2.5707172950589285e-06,-5.2728842636355755e-06,8.502386622575603e-06,5.012923265753904e-06,9.434519897668927e-06,4.020939143779496e-07
140,-3.3366743884759203e-06,-8.958591127546141e-07,-1.107783727509656e-06,-2.058200514231695e-06,3.863275637300172e-06,2.9387092089235796e-06
141,2.3595240754755575e-07,1.318661952160742e-06,-1.2478512196156197e-05,-1.4582191212412986e-06,-7.557079835926907e-06,1.5883060674573251e-06
142,1.34715943494673e-06,3.4090516783307168e-06,-8.679348058282794e-06,-2.880412784278341e-06,-7.065960984884893e-06,2.1248651562006833e-07
143,-3.0958730967064137e-06,-5.724725267789227e-06,-5.381261298611371e-06,2.637130787127773e-07,3.521143496448301e-06,8.567917226738344e-08
144,4.560502307186338e-06,1.220411794438855e-06,-4.354107818973265e-08,9.699084285135759e-06,2.1695222578922254e-06,1.2482627930460667e-06
145,-4.20170720067055e-06,4.250238400634772e-06,-6.813098520149952e-06,5.621418103488801e-06,-5.218213005664935e-07,2.201991144061633e-07
146,-6.613371830739683e-06,6.369483658015374e-06,-1.0017429227959263e-05,2.3409488202622655e-06,4.505647716414424e-06,1.8680442928657573e-07
147,1.2540679030968896e-05,7.886376029338901e-06,-2.039110982589579e-06,1.2448613027913044e-05,2.005386931419607e-05,2.0076450154265857e-07
148,8.135207920310712e-06,5.748564903640921e-06,-3.923453959609147e-06,1.4311504647948132e-05,1.7229013985679728e-05,7.22984669500753e-07
149,2.1084240329482203e-07,-2.1141522054359418e-06,-1.1787904630158205e-05,2.2017533442364357e-06,-4.188173868033629e-06,3.6529500172839672e-06
150,-2.347093176978987e-07,-2.5138037492285307e-06,-7.074711302471747e-06,4.008296016824862e-06,2.5267094568060936e-06,3.829307197235746e-06
151,4.531825510488981e-06,-8.387262905521625e-08,-1.3338205416556086e-05,1.0951229028483249e-06,-6.306478318216202e-07,2.202619409208334e-06
