timestamps,node_ids
11091.999999978936,987
11325.799999975534,987
11707.599999969978,387
11609.8999999714,771
11578.29999997186,819
11598.399999971569,819
11674.49999997046,819
11705.39999997001,819
11558.99999997214,867
11598.499999971566,891
11757.999999969245,915
11759.999999969215,963
11614.299999971336,987
11872.39999996758,987
11920.799999966875,987
11950.299999966446,987
12462.799999958988,243
12001.5999999657,915
12109.599999964128,915
12385.399999960116,915
12458.499999959053,915
12337.899999960806,963
12084.69999996449,987
12610.599999956838,219
12997.499999951207,435
12683.799999955772,507
12826.2999999537,867
12751.499999954787,939
12832.799999953604,939
12891.899999952744,939
12710.299999955389,963
12762.99999995462,963
12776.79999995442,963
12877.69999995295,963
12920.29999995233,963
12782.599999954336,987
13157.899999948871,555
13104.49999994965,579
13246.499999947584,939
13423.599999945009,939
13006.799999951072,963
13017.699999950912,963
13169.299999948707,963
13470.09999994433,963
13398.799999945368,987
13768.099999939994,579
13771.999999939935,603
13628.399999942028,939
13777.499999939855,939
13777.799999939853,963
13799.599999939535,987
14302.599999932216,75
14296.399999932306,843
14049.999999935892,915
14087.19999993535,915
14107.899999935047,915
14442.599999930178,939
14167.799999934176,987
14244.299999933064,987
14256.599999932883,987
14343.199999931623,987
14904.599999923455,579
14813.49999992478,843
14904.099999923465,843
14920.69999992322,843
14704.699999926364,867
14977.399999922396,915
14987.299999922252,915
14698.699999926452,939
14671.399999926847,963
14713.89999992623,963
14904.499999923455,987
14917.29999992327,987
5016.800000009585,4
5034.900000009651,844
5432.200000011097,844
5223.800000010338,892
5284.60000001056,892
5302.100000010623,892
5313.800000010666,892
5326.400000010712,892
5345.500000010781,892
5053.90000000972,964
5075.600000009799,964
5134.900000010015,964
5451.300000011166,964
5157.700000010098,988
5265.40000001049,988
5903.600000012812,196
5645.900000011874,820
5624.300000011795,892
5643.400000011865,892
5902.200000012806,892
5982.000000013097,892
5898.700000012794,916
5954.000000012995,940
5601.5000000117125,964
5662.900000011936,964
5905.300000012818,964
5917.00000001286,964
5570.800000011601,988
5582.200000011642,988
5699.400000012069,988
5764.000000012304,988
5900.000000012798,988
6408.700000014649,28
6087.900000013482,172
6255.500000014092,556
6116.700000013587,748
6248.700000014067,772
6122.800000013609,820
6259.000000014104,820
6122.900000013609,844
6219.20000001396,844
6252.800000014082,868
6127.400000013626,964
6225.600000013983,964
6351.700000014442,964
6488.80000001494,964
6094.800000013507,988
6667.40000001559,916
6855.300000016274,916
6751.000000015894,940
6830.300000016183,940
6841.200000016223,940
6849.900000016254,988
6949.000000016615,988
7161.900000017389,52
7199.900000017527,484
7175.300000017438,820
7190.900000017495,820
7208.100000017557,820
7025.600000016893,844
7054.200000016997,844
7439.100000018398,844
7405.500000018275,940
7495.800000018604,964
7008.800000016832,988
7065.100000017037,988
7075.300000017074,988
7360.200000018111,988
7665.10000001922,172
7566.900000018863,748
7586.700000018935,820
7713.4000000193955,820
7570.700000018876,844
7609.5000000190175,844
7807.600000019738,868
7741.700000019498,916
7945.300000020239,916
7961.200000020297,964
7703.60000001936,988
7717.50000001941,988
8361.900000018664,604
8149.900000020983,844
8177.4000000210835,844
8341.200000018966,844
8140.300000020949,892
8149.800000020983,892
8001.600000020444,916
8469.200000017103,940
8093.200000020777,964
8256.100000020204,964
8351.000000018823,964
8408.500000017986,988
8795.200000012359,244
8853.700000011508,340
8707.100000013641,508
8816.200000012053,556
8880.700000011115,820
8963.800000009905,820
8866.800000011317,844
8562.700000015742,868
8552.700000015888,916
8623.200000014862,940
8562.700000015742,964
8730.300000013303,964
8843.800000011652,964
8919.50000001055,964
8705.200000013669,988
8718.500000013475,988
9061.10000000849,268
9288.700000005178,652
9068.800000008378,820
9329.900000004578,844
9394.200000003642,844
