x_axis_frequency,case1,case2,case3,case4,case5,case6
107,1.292510890650101e-05,2.6477529738926862e-05,3.5256108333766385e-05,3.257372450433024e-05,1.9231443868450986e-05,1.2329476376460799e-06
108,-1.9603257738989644e-06,9.645442106250985e-06,2.6861009960839993e-05,2.6042557831543797e-05,3.02244055431022e-05,2.1283386923151926e-06
109,2.347896411606433e-05,2.541389433701524e-05,1.8997842667250873e-05,2.2085476262689476e-05,2.290594049879079e-05,-4.5503790893927797e-07
110,3.060492295227626e-05,3.081374305087367e-05,1.9653323975771825e-05,2.3061233846121583e-05,3.321385360203066e-05,-1.8241728602289315e-07
111,5.54241347535292e-06,1.0026096105537654e-05,8.7569129229018e-06,1.0799689044189967e-05,7.584375333184008e-06,-5.736915788536329e-07
112,1.8022892969700304e-06,1.21119956610132e-05,1.9736737932332273e-05,8.214509235769102e-06,7.917959731181644e-06,-6.820552747479326e-07
113,7.770547690918698e-06,1.2592845015846898e-05,2.634527060590195e-05,2.0857935269343505e-05,3.6821046693816455e-05,-6.013731211551189e-07
114,6.657760572425584e-08,1.0050681218368685e-05,6.9996018521094555e-06,6.530343050767975e-06,1.3951866308825209e-05,-1.53622957035979e-06
115,2.050056740342667e-05,2.1648292613867913e-05,1.046582274858265e-05,3.5451258431403898e-06,3.6875437154337945e-06,-1.256848565222321e-06
116,2.32240955266846e-05,5.197251319439189e-06,1.3434108185659033e-06,9.407050779222444e-06,1.226043356406122e-05,-7.62786975971842e-08
117,2.7413780043661645e-05,7.943884972997226e-06,2.6327367055753732e-06,1.794658548398387e-05,2.272827789633276e-05,2.6824099339862202e-06
118,7.53627254287884e-06,1.928081269878254e-05,1.3900953636444462e-05,1.203968840003651e-05,6.593540257494858e-06,-4.384480205552657e-07
119,7.2949210815027885e-06,1.591846097324444e-05,2.3850979893314267e-05,1.340201134378168e-05,2.264858496482688e-05,-3.0130595043009005e-08
120,1.2870037042259407e-05,1.4605222360735168e-05,1.6411373699890744e-05,1.945680219528068e-05,3.7822875109192425e-05,-5.871770803140001e-07
121,1.3219941761818926e-05,1.4978226634773954e-06,1.710199450619468e-05,1.2874437841646517e-05,2.3750164438687284e-05,-3.118655547911683e-08
122,1.2296590853962926e-05,1.9207717653185285e-05,1.9589338719267957e-05,2.379068070278524e-05,1.7701649895618128e-06,-8.804458817638763e-07
123,2.1122326869088232e-06,8.902333148420106e-06,1.1617813339393442e-05,1.3314992165832075e-05,7.449406882204513e-06,-1.4272987255389986e-06
124,-1.3054641054725607e-06,3.539808895951046e-06,1.984788756871079e-05,1.7920136210780147e-05,1.4723141436025097e-05,-1.3254768087494209e-06
125,-4.532119586469721e-06,7.4845729520619524e-06,2.503528958479944e-05,2.3211595424371644e-05,-1.0568399684656382e-05,1.0637546511561842e-06
126,1.1836669092228688e-05,2.16176311896091e-05,9.667169482621718e-06,1.0922766622665805e-05,-1.0734727734332403e-05,3.4307197223123123e-07
127,1.9889004401564364e-05,2.665134178510764e-05,2.7762522579904245e-06,2.200178697401541e-06,7.210141099388596e-07,1.1761232843384242e-06
128,9.407381084364297e-06,5.030530843170674e-06,7.44614093962161e-06,-4.354707057528635e-06,-4.721638500925273e-06,1.5931661898120246e-06
129,-3.5244550130284646e-07,2.2215805508106326e-05,6.978302962431252e-06,8.03593327166725e-06,-6.304978023250131e-06,3.553065767428436e-07
130,4.7505065484357384e-06,2.0758952918609302e-05,2.038177231739822e-05,1.529292760810345e-05,1.3620602624785334e-05,2.6209550241446685e-06
131,1.5493804550881438e-06,5.9515119370572545e-06,1.5328759603925393e-05,4.375316101883809e-06,1.0758491097776168e-05,1.4736136239770048e-07
132,-5.467039404554564e-06,1.293368773510157e-05,5.784546329694887e-06,-4.4371947249369755e-06,-3.3934323093985923e-06,-1.0217430841918715e-06
133,-6.914417521984575e-06,9.625022226331629e-06,1.1037825348087308e-05,-3.5425027417547894e-07,1.9024417363668778e-05,1.6965059574969094e-07
134,1.2933146386595912e-06,5.712998879931316e-06,3.10397720210253e-05,4.7000520934657875e-06,4.90900212273137e-07,1.2134526226544056e-06
135,1.2835769116787898e-06,1.5109485378867938e-05,3.697042697061881e-05,3.648487801950332e-06,8.12199492944362e-06,1.2724685587113245e-06
136,5.696418933507081e-06,6.449868766486839e-06,9.921214949912005e-06,1.4498345646264983e-07,-3.0139783606498934e-06,4.1599060849620264e-07
137,1.1419853688584264e-05,2.724130582974487e-06,1.3173231829629154e-05,4.543825407386724e-06,1.3259152547479046e-06,8.266278474147706e-07
138,2.9027467422896604e-06,-2.5321989567311445e-07,1.0995504954936452e-05,1.277179846555258e-05,-8.240212799360665e-06,-5.039731149204481e-07
139,8.6183165392391e-07,-7.02693401814998e-06,5.380283525981006e-06,6.905028417422948e-06,2.994883357676563e-06,1.3199645409643366e-08
140,-3.5125999145169276e-06,-4.5199745275076535e-06,-3.4882523865088593e-06,-4.1598521034227255e-06,4.592280899057242e-07,2.4145950438496347e-06
141,-3.421329802082403e-06,2.6375154333207486e-06,-7.221657888880401e-06,-2.7802860547147703e-06,-1.3219701858291412e-05,7.574446584539213e-07
142,1.0609069410930948e-06,8.407946444995214e-06,-7.24617335115917e-07,-3.3262477853624476e-06,-1.1754489361695585e-05,-3.339052706930459e-07
143,-3.0638238549758655e-06,-6.9137062382183375e-06,-2.17891515955677e-06,4.654914355502981e-06,-5.263107402003273e-06,-1.0396070348297273e-06
144,9.050278734166366e-06,2.7813107227953424e-06,1.8140970036968027e-06,1.10793686568917e-05,-5.903753842405397e-06,7.938955668305263e-07
145,-5.596106012792917e-06,5.297641158338519e-06,-9.278541687674057e-06,7.057794248678515e-06,-5.611865704778938e-06,-5.914423827731723e-07
146,-2.8121911331330526e-06,1.2830774052342457e-05,-5.219111766506076e-06,6.623871866448152e-06,1.752883946661391e-06,-5.885985486082383e-07
147,1.3238160991958765e-05,1.4003004110804939e-05,-5.757042305211952e-07,1.6694280694149893e-05,1.9153176208352737e-05,3.750341684986941e-08
148,5.520330424418473e-06,9.133561486603769e-06,-4.730505603804067e-07,1.509847430608987e-05,1.378013764108565e-05,5.22409394006879e-07
149,-1.6815984477366376e-07,3.6730754299612377e-07,-8.259883431848783e-06,5.483120995763012e-06,-6.5712135286248204e-06,2.970352249424236e-06
150,3.407340349853677e-06,-1.7176579698449196e-06,-4.773662802806864e-06,3.570509481895994e-06,3.4487792463568925e-06,2.6671714928579046e-06
151,7.747644279996306e-06,-1.3794617253973009e-06,-1.3680705791568301e-05,-7.272525874250952e-07,-8.42013438357738e-06,1.7484277704349046e-06
